CID	ACT_AN
71412	Inactive
115162	Inactive
36294	Inactive
36339	Inactive
91610	Inactive
5284558	Inactive
33478	Inactive
5282493	Inactive
441307	Inactive
54677972	Inactive
5282169	Inactive
6420013	Inactive
37392	Inactive
3081545	Inactive
441398	Inactive
38010	Inactive
20055558	Inactive
5359	Inactive
3308	Inactive
39042	Inactive
39147	Inactive
47965	Inactive
60196265	Inactive
40127	Inactive
4831	Inactive
20055515	Inactive
20056828	Inactive
5472	Inactive
4891	Inactive
4849	Inactive
41781	Inactive
60196266	Inactive
3742	Inactive
65483	Inactive
54677971	Inactive
5284373	Inactive
65492	Inactive
43231	Inactive
43507	Inactive
65495	Inactive
5092	Inactive
170344	Inactive
44383	Inactive
5281098	Inactive
53025	Inactive
4539	Inactive
114811	Inactive
3736	Inactive
3229	Inactive
104838	Inactive
4513	Inactive
54117	Inactive
6438130	Inactive
54362	Inactive
54384	Inactive
54454	Inactive
444037	Inactive
60561	Inactive
54765	Inactive
4583	Inactive
55182	Inactive
441336	Inactive
6420010	Inactive
5362129	Inactive
3741	Inactive
71771	Inactive
3724	Inactive
62999	Inactive
3476	Inactive
441130	Inactive
68624	Inactive
57363	Inactive
3902	Inactive
6918132	Inactive
65981	Inactive
68844	Inactive
5284630	Inactive
312915	Inactive
82153	Inactive
3114	Inactive
441080	Inactive
16051987	Inactive
20848883	Inactive
26534	Inactive
108173	Inactive
20298	Inactive
6604155	Inactive
657381	Inactive
6202	Inactive
6604472	Inactive
8505	Inactive
23675317	Inactive
8732	Inactive
62881	Inactive
8813	Inactive
201412	Inactive
23675320	Inactive
23672955	Inactive
44420324	Inactive
23663939	Inactive
15432	Inactive
264891	Inactive
6604492	Inactive
92178	Inactive
17506	Inactive
19518	Inactive
6604495	Inactive
470375	Inactive
21718	Inactive
6604497	Inactive
522325	Inactive
135802074	Inactive
22529	Inactive
23663959	Inactive
64646	Inactive
60196267	Inactive
23702	Inactive
636402	Inactive
5018304	Inactive
23675312	Inactive
60196268	Inactive
23681059	Inactive
3702	Inactive
23672568	Inactive
60196269	Inactive
23684677	Inactive
38911	Inactive
6604087	Inactive
6604557	Inactive
6420033	Inactive
441308	Inactive
23666711	Inactive
6604561	Inactive
47320	Inactive
23672566	Inactive
23677829	Inactive
441242	Inactive
54676538	Inactive
6604122	Inactive
62978	Inactive
6536864	Inactive
5362118	Inactive
175533	Inactive
23671691	Inactive
9571075	Inactive
9940086	Inactive
10114	Inactive
5281855	Inactive
3840	Inactive
174174	Inactive
1548943	Inactive
445354	Inactive
10531	Inactive
6271	Inactive
163751	Inactive
941361	Inactive
5258	Inactive
2153	Inactive
3969	Inactive
51634	Inactive
71188	Inactive
2406	Inactive
460129	Inactive
20279	Inactive
4421	Inactive
5324346	Inactive
3374	Inactive
8593	Inactive
3169	Inactive
5853	Inactive
71651	Inactive
5320	Inactive
5327	Inactive
157921	Inactive
5748	Inactive
5282494	Inactive
3627	Inactive
26248	Inactive
3115	Inactive
5354	Inactive
53001	Inactive
1775	Inactive
298107	Inactive
27503	Inactive
9687	Inactive
3822	Inactive
9912	Inactive
440707	Inactive
222757	Inactive
5284616	Inactive
657201	Inactive
5388962	Inactive
5284594	Inactive
5952	Inactive
12035	Inactive
16574	Inactive
5753	Inactive
9324	Inactive
657298	Inactive
5754	Inactive
6436	Inactive
18283	Inactive
5910	Inactive
53232	Inactive
44093	Inactive
60961	Inactive
5790	Inactive
6128	Inactive
5284443	Inactive
39186	Inactive
5852	Inactive
101616	Inactive
10219	Inactive
5310987	Inactive
71080	Inactive
83887	Inactive
10255	Inactive
2264	Inactive
31101	Inactive
2755	Inactive
2562	Inactive
5475158	Inactive
51173	Inactive
2120	Inactive
68186	Inactive
3689	Inactive
4106	Inactive
38852	Inactive
68600	Inactive
5282443	Inactive
135512460	Inactive
1979	Inactive
65854	Inactive
123924	Inactive
2377	Inactive
4883	Inactive
9409	Inactive
5278	Inactive
10783	Inactive
3517	Inactive
688272	Inactive
54477	Inactive
5311093	Inactive
5311429	Inactive
127404	Inactive
2733525	Inactive
47936	Inactive
688561	Inactive
107867	Inactive
4302960	Inactive
126941	Inactive
68736	Inactive
45073437	Inactive
93504	Inactive
60196271	Inactive
54676478	Inactive
55245	Inactive
55329	Inactive
