CID	ACT_AN
11499	Inactive
688576	Inactive
32995	Inactive
198695	Inactive
16013	Inactive
57372628	Inactive
6476	Inactive
60196368	Inactive
135400182	Inactive
8030	Inactive
643833	Inactive
76985	Inactive
6113	Inactive
62660	Inactive
13594	Inactive
13676	Inactive
1254	Inactive
31284	Inactive
62449	Inactive
11138	Inactive
7498	Inactive
642197	Inactive
6537505	Inactive
3543259	Inactive
11137	Inactive
12281	Inactive
6561	Inactive
3282	Inactive
6571	Inactive
6510	Inactive
14896	Inactive
18050	Inactive
15313	Inactive
165286	Inactive
27655	Inactive
7521	Inactive
8102	Inactive
19920	Inactive
5943	Inactive
6569	Inactive
15965	Inactive
8924	Inactive
75103	Inactive
61002	Inactive
6861	Inactive
12694	Inactive
4649906	Inactive
12443	Inactive
6584	Inactive
16212317	Inactive
6416	Inactive
6818	Inactive
9005	Inactive
91538	Inactive
61017	Inactive
9635	Inactive
62500	Inactive
90960	Inactive
5284371	Inactive
11505	Inactive
12576	Inactive
10723	Inactive
81313	Inactive
78771	Inactive
72884	Inactive
7666	Inactive
6654	Inactive
2707	Inactive
222536	Inactive
23194	Inactive
11499271	Inactive
7684	Inactive
11671	Inactive
12748	Inactive
7321	Inactive
66245	Inactive
10313079	Inactive
31432	Inactive
29096	Inactive
7726	Inactive
6811	Inactive
7369	Inactive
5793	Inactive
7734	Inactive
12017	Inactive
6490	Inactive
61020	Inactive
7597	Inactive
7748	Inactive
31296	Inactive
5811	Inactive
7407	Inactive
7354	Inactive
7757	Inactive
10176127	Inactive
3226	Inactive
72	Inactive
5382	Inactive
32346	Inactive
61410	Inactive
8085	Inactive
7829	Inactive
36081	Inactive
24287	Inactive
7529	Inactive
10704	Inactive
5558	Inactive
10486	Inactive
6514	Inactive
13381	Inactive
92321	Inactive
10329304	Inactive
7858	Inactive
16097	Inactive
9253	Inactive
10797	Inactive
11899	Inactive
6365	Inactive
442495	Inactive
7834	Inactive
8112	Inactive
61032	Inactive
3035467	Inactive
7912	Inactive
8794	Inactive
18177	Inactive
11954	Inactive
6397	Inactive
7044	Inactive
23160050	Inactive
5364509	Inactive
8151	Inactive
517063	Inactive
