CID	ACT_AN
6881	Inactive
11830	Inactive
77353	Inactive
60999	Inactive
197835	Inactive
29228	Inactive
67967	Inactive
6013	Inactive
61186	Inactive
53462	Inactive
13539	Inactive
11460221	Inactive
10473	Inactive
77290	Inactive
60960	Inactive
4616	Inactive
76564	Inactive
7621	Inactive
227	Inactive
88365	Inactive
10236	Inactive
11568	Inactive
12589	Inactive
16212746	Inactive
7281	Inactive
8908	Inactive
7333	Inactive
10795	Inactive
82261	Inactive
23670844	Inactive
69917	Inactive
12040508	Inactive
2734163	Inactive
7681	Inactive
8407	Inactive
329983	Inactive
11597	Inactive
6214	Inactive
2155	Inactive
13436	Inactive
11124	Inactive
87154	Inactive
85557	Inactive
12703	Inactive
10941	Inactive
2734175	Inactive
7719	Inactive
8494	Inactive
16637	Inactive
10423	Inactive
11684	Inactive
263	Inactive
6737	Inactive
7331	Inactive
25418	Inactive
590836	Inactive
66912	Inactive
11872	Inactive
6921	Inactive
12036651	Inactive
7745	Inactive
31230	Inactive
31553	Inactive
5787	Inactive
6053	Inactive
135398743	Inactive
6829	Inactive
7386	Inactive
7158	Inactive
439709	Inactive
61012	Inactive
638144	Inactive
75311	Inactive
15133	Inactive
2777982	Inactive
2734243	Inactive
7766	Inactive
11783	Inactive
10900	Inactive
6899	Inactive
7426	Inactive
8058	Inactive
6593	Inactive
5271569	Inactive
12682	Inactive
24752	Inactive
20129	Inactive
8453	Inactive
517277	Inactive
7791	Inactive
25711	Inactive
17163	Inactive
22463	Inactive
6333	Inactive
6945	Inactive
70452	Inactive
1727	Inactive
7293	Inactive
7869	Inactive
6432115	Inactive
24412	Inactive
2083	Inactive
7841	Inactive
7240	Inactive
76063	Inactive
10758	Inactive
6359	Inactive
6979	Inactive
7501	Inactive
7343	Inactive
8012	Inactive
13848	Inactive
24451	Inactive
24813	Inactive
5754	Inactive
27200	Inactive
7904	Inactive
8706	Inactive
121752	Inactive
10824	Inactive
11921	Inactive
6375	Inactive
7003	Inactive
7850	Inactive
53316418	Inactive
4093	Inactive
5447	Inactive
20849290	Inactive
7167	Inactive
5897	Inactive
3763	Inactive
12148	Inactive
7933	Inactive
637564	Inactive
18370	Inactive
21499	Inactive
12078	Inactive
6410	Inactive
7055	Inactive
10967	Inactive
6586	Inactive
12184591	Inactive
8165	Inactive
74080	Inactive
8282	Inactive
16420	Inactive
5284472	Inactive
7961	Inactive
18555	Inactive
21575	Inactive
12104	Inactive
6446	Inactive
13551	Inactive
52999	Inactive
6327594	Inactive
20701	Inactive
8354	Inactive
74791	Inactive
5354133	Inactive
23681217	Inactive
23662354	Inactive
2724192	Inactive
8005	Inactive
20055509	Inactive
261491	Inactive
80365	Inactive
13586	Inactive
8540	Inactive
8471	Inactive
6387	Inactive
8491	Inactive
17113	Inactive
11955	Inactive
80519	Inactive
10439	Inactive
7604	Inactive
12209	Inactive
41375	Inactive
16640	Inactive
86287517	Inactive
10843	Inactive
7344	Inactive
11552	Inactive
919792	Inactive
13428	Inactive
542762	Inactive
7230	Inactive
98613	Inactive
1549517	Inactive
69026	Inactive
34665	Inactive
5281567	Inactive
31389	Inactive
7657	Inactive
6409	Inactive
5930	Inactive
5281565	Inactive
14642	Inactive
11334	Inactive
13636	Inactive
12733	Inactive
6415	Inactive
88735	Inactive
1017	Inactive
12262	Inactive
11909	Inactive
51	Inactive
12051	Inactive
8029	Inactive
135401907	Inactive
114809	Inactive
6211	Inactive
904	Inactive
61286	Inactive
9609	Inactive
6537499	Inactive
71645	Inactive
11571	Inactive
5801	Inactive
8391	Inactive
7341	Inactive
23664054	Inactive
6983	Inactive
7747	Inactive
25607	Inactive
10638	Inactive
591200	Inactive
8081	Inactive
6537488	Inactive
5281771	Inactive
9443	Inactive
7724	Inactive
76583	Inactive
68191	Inactive
11236	Inactive
95116	Inactive
16125	Inactive
11803	Inactive
7368	Inactive
15050	Inactive
6926	Inactive
7856	Inactive
19165	Inactive
